epoch,train_loss,val_loss
1,0.19686771929264069,0.5186082124710083
2,0.15537135303020477,0.4402846097946167
3,0.1184248998761177,0.3629002869129181
4,0.08572854846715927,0.28551337122917175
5,0.05775080993771553,0.20879313349723816
6,0.037168100476264954,0.13623109459877014
7,0.027388297021389008,0.07762648165225983
8,0.03454981744289398,0.05010523274540901
9,0.04736959934234619,0.04665007442235947
10,0.049635760486125946,0.05593562126159668
11,0.043709032237529755,0.073356032371521
12,0.036069877445697784,0.0955648273229599
13,0.030439626425504684,0.11925489455461502
14,0.027734648436307907,0.1415850967168808
15,0.027890266850590706,0.16070586442947388
16,0.02877536229789257,0.16817791759967804
17,0.029942616820335388,0.17356058955192566
18,0.030513206496834755,0.17695918679237366
19,0.031191224232316017,0.17848199605941772
